FEATURE,UFI,REGNO,REGNAME,AGE_CLASS,MAIN_AGE,APROX_AREA,LANDFORMS,STRATIG,IGNEOUS,REG_META,DEFORMATN,MINDEPS,GEODX_REF
GR_UNIT,"1","18",Torres Strait Region,Palaeozoic,Late Carboniferous to Early Permian,"1000","Rocky islands; narrow plains; low  hills",Late Carboniferous  felsic volcanics (ignimbrites),"Late Carboniferous felsic volcanics; Late Carboniferous and Early Permian felsic intrusives",None,Moderate faulting,"Major gold deposit; minor deposits of lode gold, tin, and tungsten, and alluvial gold and tin",98/29073
GR_UNIT,"2","18",Torres Strait Region,Palaeozoic,Late Carboniferous to Early Permian,"1000","Rocky islands; narrow plains; low  hills",Late Carboniferous  felsic volcanics (ignimbrites),"Late Carboniferous felsic volcanics; Late Carboniferous and Early Permian felsic intrusives",None,Moderate faulting,"Major gold deposit; minor deposits of lode gold, tin, and tungsten, and alluvial gold and tin",98/29073
GR_UNIT,"3","18",Torres Strait Region,Palaeozoic,Late Carboniferous to Early Permian,"1000","Rocky islands; narrow plains; low  hills",Late Carboniferous  felsic volcanics (ignimbrites),"Late Carboniferous felsic volcanics; Late Carboniferous and Early Permian felsic intrusives",None,Moderate faulting,"Major gold deposit; minor deposits of lode gold, tin, and tungsten, and alluvial gold and tin",98/29073
GR_UNIT,"4","18",Torres Strait Region,Palaeozoic,Late Carboniferous to Early Permian,"1000","Rocky islands; narrow plains; low  hills",Late Carboniferous  felsic volcanics (ignimbrites),"Late Carboniferous felsic volcanics; Late Carboniferous and Early Permian felsic intrusives",None,Moderate faulting,"Major gold deposit; minor deposits of lode gold, tin, and tungsten, and alluvial gold and tin",98/29073
GR_UNIT,"5","18",Torres Strait Region,Palaeozoic,Late Carboniferous to Early Permian,"1000","Rocky islands; narrow plains; low  hills",Late Carboniferous  felsic volcanics (ignimbrites),"Late Carboniferous felsic volcanics; Late Carboniferous and Early Permian felsic intrusives",None,Moderate faulting,"Major gold deposit; minor deposits of lode gold, tin, and tungsten, and alluvial gold and tin",98/29073
GR_UNIT,"6","20",Carpentaria Lowlands Region,Mesozoic to Cainozoic,Middle Jurassic to Holocene,"265000","Sand and clay plains; low dissected plateaus","Middle Jurassic to Late Cretaceous clastic sediments, mainly continental, overlain by Miocene fluvial and shallow marine sediments and Pliocene to Holocene fluvial and lacustrine sediments; up to 1500 m thick",None,None,Minor faulting,"Major silica, bauxite, kaolin deposits","B202; 98/29073"
GR_UNIT,"7","20",Carpentaria Lowlands Region,Mesozoic to Cainozoic,Middle Jurassic to Holocene,"265000","Sand and clay plains; low dissected plateaus","Middle Jurassic to Late Cretaceous clastic sediments, mainly continental, overlain by Miocene fluvial and shallow marine sediments and Pliocene to Holocene fluvial and lacustrine sediments; up to 1500 m thick",None,None,Minor faulting,"Major silica, bauxite, kaolin deposits","B202; 98/29073"
GR_UNIT,"8","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"9","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"10","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"11","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"12","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"13","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"14","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"15","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"16","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"17","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"18","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"19","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
